SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,26-Feb-97,NO3N,0.72,1997,2
T01,26-Feb-97,PH,4.2,1997,2
T01,26-Feb-97,PO4P,0.121,1997,2
T01,26-Feb-97,POTASSIUM,3.56,1997,2
T01,26-Feb-97,SO4S,1.8,1997,2
T01,26-Feb-97,SODIUM,3.92,1997,2
T01,26-Feb-97,TOTALN,0.92,1997,2
T01,02-Jul-97,ALUMINIUM,0.235,1997,7
T01,02-Jul-97,CALCIUM,4.58,1997,7
T01,02-Jul-97,CHLORIDE,10.8,1997,7
T01,02-Jul-97,CONDY,86,1997,7
T01,02-Jul-97,DOC,5.9,1997,7
T01,02-Jul-97,IRON,0.138,1997,7
T01,02-Jul-97,MAGNESIUM,2.29,1997,7
T01,02-Jul-97,NH4N,0.757,1997,7
T01,02-Jul-97,NO3N,0.72,1997,7
T01,02-Jul-97,PH,4.2,1997,7
T01,02-Jul-97,PO4P,0.107,1997,7
T01,02-Jul-97,POTASSIUM,3.69,1997,7
T01,02-Jul-97,SO4S,1.6,1997,7
T01,02-Jul-97,SODIUM,4.1,1997,7
T01,02-Jul-97,TOTALN,0.73,1997,7
T01,30-Jul-97,ALUMINIUM,0.348,1997,7
T01,30-Jul-97,CALCIUM,4.62,1997,7
T01,30-Jul-97,CHLORIDE,10.8,1997,7
T01,30-Jul-97,CONDY,93,1997,7
T01,30-Jul-97,DOC,4.8,1997,7
T01,30-Jul-97,IRON,0.038,1997,7
T01,30-Jul-97,MAGNESIUM,2.35,1997,7
T01,30-Jul-97,NH4N,1.92,1997,7
T01,30-Jul-97,NO3N,0.63,1997,7
T01,30-Jul-97,PH,4.1,1997,7
T01,30-Jul-97,PO4P,0.283,1997,7
T01,30-Jul-97,POTASSIUM,3.68,1997,7
T01,30-Jul-97,SO4S,1.6,1997,7
T01,30-Jul-97,SODIUM,3.95,1997,7
T01,30-Jul-97,TOTALN,1.26,1997,7
T01,27-Aug-97,ALUMINIUM,0.275,1997,8
T01,27-Aug-97,CALCIUM,4.54,1997,8
T01,27-Aug-97,CHLORIDE,10.1,1997,8
T01,27-Aug-97,CONDY,91,1997,8
T01,27-Aug-97,DOC,6.5,1997,8
T01,27-Aug-97,IRON,0.044,1997,8
T01,27-Aug-97,MAGNESIUM,2.28,1997,8
T01,27-Aug-97,NH4N,0.768,1997,8
T01,27-Aug-97,NO3N,0.72,1997,8
T01,27-Aug-97,PH,3.9,1997,8
T01,27-Aug-97,PO4P,0.111,1997,8
T01,27-Aug-97,POTASSIUM,3.78,1997,8
T01,27-Aug-97,SO4S,1.8,1997,8
T01,27-Aug-97,SODIUM,4.24,1997,8
T01,27-Aug-97,TOTALN,0.91,1997,8
T01,19-Nov-97,ALUMINIUM,0.204,1997,11
T01,19-Nov-97,CALCIUM,4.37,1997,11
T01,19-Nov-97,CHLORIDE,10.6,1997,11
T01,19-Nov-97,CONDY,81,1997,11
T01,19-Nov-97,DOC,8.4,1997,11
T01,19-Nov-97,IRON,0.076,1997,11
T01,19-Nov-97,MAGNESIUM,2.18,1997,11
T01,19-Nov-97,NH4N,0.7,1997,11
T01,19-Nov-97,NO3N,0.7,1997,11
T01,19-Nov-97,PH,4.1,1997,11
T01,19-Nov-97,PO4P,0.094,1997,11
T01,19-Nov-97,POTASSIUM,3.36,1997,11
T01,19-Nov-97,SO4S,1.8,1997,11
T01,19-Nov-97,SODIUM,3.82,1997,11
T01,19-Nov-97,TOTALN,0.7,1997,11
T01,14-Jan-98,ALUMINIUM,0.329,1998,1
T01,14-Jan-98,CALCIUM,4.34,1998,1
T01,14-Jan-98,CHLORIDE,14.4,1998,1
T01,14-Jan-98,CONDY,107,1998,1
T01,14-Jan-98,DOC,8.5,1998,1
T01,14-Jan-98,IRON,0.045,1998,1
T01,14-Jan-98,MAGNESIUM,2.11,1998,1
T01,14-Jan-98,NH4N,0.72,1998,1
T01,14-Jan-98,NO3N,0.69,1998,1
T01,14-Jan-98,PH,4,1998,1
T01,14-Jan-98,PO4P,0.241,1998,1
T01,14-Jan-98,POTASSIUM,3.09,1998,1
T01,14-Jan-98,SO4S,1.7,1998,1
T01,14-Jan-98,SODIUM,3.62,1998,1
T01,14-Jan-98,TOTALN,1.01,1998,1
T01,11-Feb-98,ALUMINIUM,0.189,1998,2
T01,11-Feb-98,CALCIUM,3.84,1998,2
T01,11-Feb-98,CHLORIDE,14.4,1998,2
T01,11-Feb-98,CONDY,109,1998,2
T01,11-Feb-98,DOC,8.4,1998,2
T01,11-Feb-98,IRON,0.131,1998,2
T01,11-Feb-98,MAGNESIUM,1.86,1998,2
T01,11-Feb-98,NH4N,0.764,1998,2
T01,11-Feb-98,NO3N,0.68,1998,2
T01,11-Feb-98,PH,4,1998,2
T01,11-Feb-98,PO4P,0.26,1998,2
T01,11-Feb-98,POTASSIUM,3.03,1998,2
T01,11-Feb-98,SO4S,1.7,1998,2
T01,11-Feb-98,SODIUM,3.67,1998,2
T01,11-Feb-98,TOTALN,1.09,1998,2
T01,25-Mar-98,ALUMINIUM,0.375,1998,3
T01,25-Mar-98,CALCIUM,5.16,1998,3
T01,25-Mar-98,CHLORIDE,10.6,1998,3
T01,25-Mar-98,CONDY,90,1998,3
T01,25-Mar-98,DOC,6.6,1998,3
T01,25-Mar-98,IRON,0.171,1998,3
T01,25-Mar-98,MAGNESIUM,2.5,1998,3
T01,25-Mar-98,NH4N,0.993,1998,3
T01,25-Mar-98,NO3N,0.69,1998,3
T01,25-Mar-98,PH,3.9,1998,3
T01,25-Mar-98,PO4P,0.16,1998,3
T01,25-Mar-98,POTASSIUM,3.84,1998,3
T01,25-Mar-98,SO4S,1.7,1998,3
T01,25-Mar-98,SODIUM,4.39,1998,3
T01,25-Mar-98,TOTALN,1.02,1998,3
T01,22-Apr-98,ALUMINIUM,0.3,1998,4
T01,22-Apr-98,CALCIUM,5.86,1998,4
T01,22-Apr-98,CHLORIDE,10.4,1998,4
T01,22-Apr-98,CONDY,84,1998,4
T01,22-Apr-98,DOC,12,1998,4
T01,22-Apr-98,IRON,0.16,1998,4
T01,22-Apr-98,MAGNESIUM,2.65,1998,4
T01,22-Apr-98,NH4N,0.799,1998,4
T01,22-Apr-98,NO3N,0.61,1998,4
T01,22-Apr-98,PH,4,1998,4
T01,22-Apr-98,PO4P,0.128,1998,4
T01,22-Apr-98,POTASSIUM,4.15,1998,4
T01,22-Apr-98,SO4S,1.6,1998,4
T01,22-Apr-98,SODIUM,4.8,1998,4
T01,22-Apr-98,TOTALN,1.04,1998,4
T01,06-May-98,ALUMINIUM,0.285,1998,5
T01,06-May-98,CALCIUM,5.49,1998,5
T01,06-May-98,CHLORIDE,11.1,1998,5
T01,06-May-98,CONDY,87,1998,5
T01,06-May-98,DOC,8,1998,5
T01,06-May-98,IRON,0.118,1998,5
T01,06-May-98,MAGNESIUM,2.53,1998,5
T01,06-May-98,NH4N,0.762,1998,5
T01,06-May-98,NO3N,0.7,1998,5
T01,06-May-98,PH,4,1998,5
T01,06-May-98,PO4P,0.102,1998,5
T01,06-May-98,POTASSIUM,4.21,1998,5
T01,06-May-98,SO4S,1.8,1998,5
T01,06-May-98,SODIUM,4.54,1998,5
T01,06-May-98,TOTALN,0.91,1998,5
T01,20-May-98,ALUMINIUM,0.297,1998,5
T01,20-May-98,CALCIUM,5.35,1998,5
T01,20-May-98,CHLORIDE,10.6,1998,5
T01,20-May-98,CONDY,89,1998,5
T01,20-May-98,DOC,8.5,1998,5
T01,20-May-98,IRON,0.115,1998,5
T01,20-May-98,MAGNESIUM,2.53,1998,5
T01,20-May-98,NH4N,0.736,1998,5
T01,20-May-98,NO3N,0.7,1998,5
T01,20-May-98,PH,3.9,1998,5
T01,20-May-98,PO4P,0.117,1998,5
T01,20-May-98,POTASSIUM,3.94,1998,5
T01,20-May-98,SO4S,1.8,1998,5
T01,20-May-98,SODIUM,4.41,1998,5
T01,20-May-98,TOTALN,1.04,1998,5
T01,03-Jun-98,ALUMINIUM,0.285,1998,6
T01,03-Jun-98,CALCIUM,5.32,1998,6
T01,03-Jun-98,CHLORIDE,10.2,1998,6
T01,03-Jun-98,CONDY,83,1998,6
T01,03-Jun-98,DOC,8.6,1998,6
T01,03-Jun-98,IRON,0.157,1998,6
T01,03-Jun-98,MAGNESIUM,2.5,1998,6
T01,03-Jun-98,NH4N,0.73,1998,6
T01,03-Jun-98,NO3N,0.65,1998,6
T01,03-Jun-98,PH,4,1998,6
T01,03-Jun-98,PO4P,0.109,1998,6
T01,03-Jun-98,POTASSIUM,3.79,1998,6
T01,03-Jun-98,SO4S,1.8,1998,6
T01,03-Jun-98,SODIUM,4.36,1998,6
T01,03-Jun-98,TOTALN,0.98,1998,6
T01,17-Jun-98,ALUMINIUM,0.255,1998,6
T01,17-Jun-98,CALCIUM,5.37,1998,6
T01,17-Jun-98,CHLORIDE,11.3,1998,6
T01,17-Jun-98,CONDY,88,1998,6
T01,17-Jun-98,DOC,8.7,1998,6
T01,17-Jun-98,IRON,0.129,1998,6
T01,17-Jun-98,MAGNESIUM,2.51,1998,6
T01,17-Jun-98,NH4N,0.733,1998,6
T01,17-Jun-98,NO3N,0.69,1998,6
